pool,score,output
"[66, 70]",0.9325691790834234,
"[10, 12]",0.9048953119831123,
"[48, 56]",0.8131118792573728,
"[12, 53]",0.7598738714620941,
"[14, 32]",0.7211491670919786,
"[6, 31]",0.7031612758021044,
"[16, 53]",0.6804674851333792,
"[49, 53]",0.6804674851333792,
"[17, 66]",0.672955074837075,
"[14, 41]",0.6593359615539287,
"[2, 29]",0.6514902046980795,
"[2, 49]",0.6514902046980795,
"[29, 49]",0.6514902046980795,
"[12, 19]",0.5844004070084444,
"[37, 49]",0.5819793000636408,
"[40, 67]",0.5729327699362159,
"[38, 72]",0.5722320945266426,
"[31, 72]",0.5503450152209889,
"[33, 48]",0.5482846331423115,
"[70, 72]",0.5200078216006048,
"[16, 70]",0.5198919202191282,
"[35, 49]",0.5140714624019974,
"[35, 55]",0.5140714624019974,
"[49, 55]",0.5140714624019974,
"[12, 40]",0.5093961189685159,
"[6, 60]",0.502465050721908,
"[14, 47]",0.4987533094468971,
"[17, 40]",0.49606034160699675,
"[10, 37]",0.49113485385134953,
"[2, 55]",0.48953807053173415,
"[2, 57]",0.48953807053173415,
"[55, 57]",0.48953807053173415,
"[16, 49]",0.47284715918680503,
"[17, 70]",0.47107572286597477,
"[16, 56]",0.4655426618677675,
"[6, 70]",0.45847307609252896,
"[14, 48]",0.4552268649876858,
"[34, 51]",0.4523213956827957,
"[31, 35]",0.4455718409117948,
"[6, 38]",0.4449327720642614,
"[14, 33]",0.44382767735283696,
"[33, 38]",0.44318328555388875,
"[33, 70]",0.44318328555388875,
"[38, 70]",0.44318328555388875,
"[12, 66]",0.4406060755522296,
"[37, 67]",0.4347842834416127,
"[33, 58]",0.4317177380070011,
"[14, 56]",0.4177880321443566,
"[31, 60]",0.413932701496574,
"[38, 49]",0.4139292905366738,
"[6, 54]",0.4106724520171141,
"[12, 49]",0.4071883691403128,
"[11, 14]",0.4028130204301247,
"[14, 66]",0.4022885825957997,
"[35, 38]",0.399843455020937,
"[40, 51]",0.3993391100689654,
"[7, 38]",0.3972035130711721,
"[17, 19]",0.3937184848098566,
"[41, 56]",0.39262840918597647,
"[10, 58]",0.39197175376774573,
"[6, 41]",0.38335831199564696,
"[12, 68]",0.37871555883541796,
"[2, 21]",0.3722859768394797,
"[7, 60]",0.3688959274966812,
"[2, 72]",0.3670503410148953,
"[17, 46]",0.36620987285470474,
"[16, 67]",0.36480162995402327,
"[12, 17]",0.3637824752757848,
"[14, 52]",0.35876843245513934,
"[10, 49]",0.35802034485860884,
"[2, 35]",0.35578719052633945,
"[2, 51]",0.3552864785795925,
"[10, 16]",0.3549675262046393,
"[37, 40]",0.35260740632469967,
"[11, 61]",0.3523159586674407,
"[34, 37]",0.35202914781019945,
"[37, 45]",0.3478516087250046,
"[49, 57]",0.34417292894822876,
"[40, 70]",0.34397961834510066,
"[32, 48]",0.3421021513537331,
"[12, 70]",0.34149456930322236,
"[17, 68]",0.3409810047219376,
"[6, 72]",0.3405583287443709,
"[45, 67]",0.3318679511941189,
"[6, 33]",0.330499489834362,
"[11, 18]",0.3260904584897315,
"[23, 56]",0.3253746227080433,
"[31, 38]",0.3248576082789883,
"[30, 69]",0.3243482273956768,
"[10, 21]",0.32248955141338725,
"[6, 52]",0.31937096319261726,
"[12, 33]",0.31795294823878983,
"[21, 33]",0.31795294823878983,
