pool,output,Q_old,Q
"[34, 67]",26.27491284,1.675,1.674594277
"[45, 67]",21.56470044,1.275,1.275154289
"[21, 70]",21.2407918,0.961,0.961272251
"[17, 20]",23.57916779,0.953,0.952902406
"[21, 45]",20.61571526,0.904,0.903555699
"[17, 21]",22.91983784,0.898,0.898294582
"[1, 21]",19.81072678,0.829,0.829226945
"[45, 59]",15.56836375,0.643,0.64251897
"[12, 31]",20.56400796,0.518,0.518176388
"[40, 51]",13.72630083,0.482,0.48185597
"[1, 37]",14.3806897,0.435,0.435366095
"[45, 65]",23.80280858,0.422,0.422181104
"[7, 56]",17.11812351,0.35,0.350208576
"[7, 37]",16.90577241,0.333,0.333459178
"[37, 51]",13.18643517,0.316,0.316165104
"[14, 66]",27.86970672,0.284,0.284151338
"[15, 17]",20.43220338,0.255,0.255151435
"[34, 40]",12.23491266,0.245,0.245424773
"[21, 59]",13.37599581,0.235,0.235074928
"[34, 45]",11.98295219,0.22,0.219777037
"[37, 45]",11.26287727,0.124,0.12417085
"[40, 45]",10.57558768,0.116,0.115762945
"[34, 37]",10.87277797,0.085,0.08523424
"[45, 51]",9.385302403,-0.01,-0.009816479
"[37, 47]",29.0771239,-0.036,-0.035959834
"[21, 65]",16.06568353,-0.04,-0.040100186
"[17, 46]",21.69411527,-0.082,-0.08194907
"[6, 47]",26.15746284,-0.133,-0.132760004
"[65, 70]",14.04532557,-0.161,-0.160813458
"[50, 59]",20.9024865,-0.19,-0.189937496
"[59, 63]",6.98414867,-0.224,-0.223829354
"[47, 66]",23.12631557,-0.233,-0.233256454
"[51, 67]",3.075298439,-0.252,-0.251910186
"[6, 37]",10.01583177,-0.339,-0.339061483
"[14, 52]",11.70083485,-0.461,-0.460861111
"[37, 40]",4.12,-0.589,-0.588774361
"[63, 72]",0.800511387,-0.897,-0.613493765
