pool,output,Q_old,Q
"[70, 72]",28.01129959,8.749,8.337099864
"[16, 56]",15.07702912,4.536,4.025676372
"[10, 12]",18.76454453,3.434,3.434153394
"[16, 70]",12.48534193,3.345,3.161780643
"[33, 70]",13.45666108,2.518,2.518297412
"[2, 29]",32.4243804,1.521,1.521294689
"[12, 66]",10.16706393,1.403,1.402526794
"[37, 67]",24.04563293,1.4,1.400043875
"[40, 67]",20.76616772,1.242,1.241861809
"[48, 56]",30.75292245,1.146,1.14638904
"[37, 49]",22.45447575,0.952,0.9520404
"[16, 49]",22.07089886,0.919,0.918694816
"[12, 19]",20.28240854,0.886,0.886087002
"[10, 37]",18.83912908,0.88,0.880372062
"[29, 49]",21.48596499,0.868,0.867844618
"[33, 58]",6.634670278,0.735,0.734660859
"[6, 70]",23.54887079,0.554,0.553975355
"[14, 33]",32.83276278,0.513,0.512833869
"[6, 60]",23.40488121,0.512,0.512473809
"[14, 48]",32.58632179,0.501,0.501478618
"[55, 57]",1.636909935,0.456,0
"[38, 72]",23.50880757,0.379,0.379153052
"[31, 35]",20.65933458,0.376,0.375536893
"[31, 72]",18.61072203,0.374,0.373971397
"[12, 40]",12.65818059,0.367,0.36654447
"[6, 38]",21.51382427,0.262,0.262116605
"[49, 53]",16.29341777,0.216,0.216161958
"[14, 32]",26.37581986,0.215,0.215317574
"[12, 53]",16.04706496,0.198,0.197773862
"[2, 55]",15.40325603,0.198,0.19774525
"[14, 56]",25.41961146,0.171,0.171258399
"[6, 31]",17.10729091,0.129,0.1288995
"[49, 55]",12.51704509,0.088,0.088147324
"[34, 51]",10.46116103,0.065,0.064869809
"[2, 49]",13.5399004,0.053,0.05285216
"[14, 47]",31.08063717,0.03,0.03046583
"[17, 40]",12.36568937,0.024,0.024166109
"[38, 70]",16.27798474,-0.045,-0.045045893
"[33, 38]",16.28569736,-0.045,-0.04459343
"[66, 70]",2.538079152,-0.117,0
"[16, 53]",11.43934128,-0.146,-0.146152644
"[35, 55]",11.73036908,-0.219,-0.218970225
"[17, 70]",9.1405578,-0.243,-0.242949646
"[35, 49]",10.98215386,-0.269,-0.268787785
"[17, 66]",8.642504208,-0.284,-0.284200044
"[33, 48]",9.629694262,-0.328,-0.327898991
"[14, 41]",3.391477942,-0.844,-0.843731009
"[2, 57]",0.598196845,-0.953,-0.766722325
