id,name,smiles,formula
8,RR_DIOP,CC1(C)O[C@@H](CP(c2ccccc2)c2ccccc2)[C@H](CP(c2ccccc2)c2ccccc2)O1,C31H32O2P2
10,SS_Et_Duphos,CC[C@H]1CC[C@H](CC)P1c1ccccc1P1[C@@H](CC)CC[C@@H]1CC,C22H36P2
12,W001,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccccc1)c1ccccc1)P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Fe+2].c1cc[cH-]c1,C46H32F12FeP2
14,M003-1,CN(C)[C@H](c1ccccc1)c1c[cH-]cc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CN(C)[C@H](c1ccccc1)c1ccc[c-]1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Fe+2],C60H42F24FeN2P2
16,W005-1,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2-c2cc[cH-]c2[C@@H](C)P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1C.[Fe+2].c1cc[cH-]c1,C52H44F12FeO2P2
18,R-Segphos,c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2OCO4)OCO3)cc1,C38H28O4P2
19,RR_Norphos,C1=C[C@H]2C[C@@H]1[C@@H](P(c1ccccc1)c1ccccc1)[C@@H]2P(c1ccccc1)c1ccccc1,C31H28P2
22,RR-Me-Ferrolane,C[C@@H]1CC[C@@H](C)P1c1cc[cH-]c1.C[C@@H]1CC[C@@H](C)P1c1cc[cH-]c1.[Fe+2],C22H32FeP2
23,R_C3_Tunephos,c1ccc(P(c2ccccc2)c2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)OCCCO3)cc1,C39H32O2P2
24,MeO-BIPHEP-R,COc1cccc(P(c2ccccc2)c2ccccc2)c1-c1c(OC)cccc1P(c1ccccc1)c1ccccc1,C38H32O2P2
27,R-Binaphane,c1ccc(P2Cc3ccc4ccccc4c3-c3c(ccc4ccccc34)C2)c(P2Cc3ccc4ccccc4c3-c3c(ccc4ccccc34)C2)c1,C50H36P2
40,J005_1,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)[C@H](C)c2c[cH-]cc2P(c2ccccc2)c2ccccc2)c1.[Fe+2].c1cc[cH-]c1,C40H40FeP2
43,J006_1,C[C@H](c1c[cH-]cc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P(C1CCCCC1)C1CCCCC1.[Fe+2].c1cc[cH-]c1,C40H40F12FeP2
45,W003,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1.[Fe+2].c1cc[cH-]c1,C42H48FeP2
46,W006_1,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)[C@H](C)c2[cH-]ccc2-c2ccccc2P(c2ccccc2)c2ccccc2)c1.[Fe+2].c1cc[cH-]c1,C46H44FeP2
48,R-Furl-MeOBIPHEP,COc1cccc(P(c2ccco2)c2ccco2)c1-c1c(OC)cccc1P(c1ccco1)c1ccco1,C30H24O6P2
50,M001-1,CN(C)[C@H](c1ccccc1)[c-]1cccc1P(c1ccccc1)c1ccccc1.CN(C)[C@H](c1ccccc1)c1cc[cH-]c1P(c1ccccc1)c1ccccc1.[Fe+2],C52H50FeN2P2
51,T002-2,CN(C)[C@@H](c1ccccc1P(C1CCCCC1)C1CCCCC1)c1c[cH-]cc1P(C1CCCCC1)C1CCCCC1.[Fe+2].c1cc[cH-]c1,C43H63FeNP2
54,R_BINAP_Xyl,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3ccccc3c2-c2c(P(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)ccc3ccccc23)c1,C52H48P2
57,M004-1,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2[cH-]ccc2[C@@H](c2ccccc2)N(C)C)cc1C.COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2c[cH-]cc2[C@@H](c2ccccc2)N(C)C)cc1C.[Fe+2],C64H74FeN2O4P2
58,W008_R,C[C@H](c1[cH-]ccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1)P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Fe+2].c1cc[cH-]c1,C46H44F12FeP2
59,M009-1,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2[cH-]ccc2[C@@H](c2ccccc2)N(C)C)c1.Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2c[cH-]cc2[C@@H](c2ccccc2)N(C)C)c1.[Fe+2],C60H66FeN2P2
60,T001-2,CN(C)[C@@H](c1ccccc1P(c1ccccc1)c1ccccc1)c1c[cH-]cc1P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C43H39FeNP2
62,R_345_MeO_BIPHEP,COc1cc(P(c2cc(OC)c(OC)c(OC)c2)c2cccc(OC)c2-c2c(OC)cccc2P(c2cc(OC)c(OC)c(OC)c2)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,C50H56O14P2
63,w030,C[C@H](c1[cH-]ccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C34H52FeP2
67,J013_1,COc1ccc(P(c2ccc(OC)cc2)c2c[cH-]cc2[C@@H](C)P(C(C)(C)C)C(C)(C)C)cc1.[Fe+2].c1cc[cH-]c1,C34H44FeO2P2
68,W012,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccccc1)c1ccccc1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C38H44FeP2
70,J212-1,C[C@H](c1c[cH-]cc1P(c1ccco1)c1ccco1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C28H36FeO2P2
71,J502-1,C[C@H](c1c[cH-]cc1P(C(C)(C)C)C(C)(C)C)P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C32H40FeP2
73,J403-1,C[C@H](c1c[cH-]cc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1.[Fe+2].c1cc[cH-]c1,C40H28F12FeP2
74,J216-1,C[C@H](c1c[cH-]cc1P(c1cccc2ccccc12)c1cccc2ccccc12)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C40H44FeP2
