cluster,bident_id,smiles,cas,alternate cas,solvias,notes
0,254,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc3c(c2-c2c(P(c4ccc(C(F)(F)F)cc4)c4ccc(C(F)(F)F)cc4)ccc4c2OCO4)OCO3)cc1,1620166-17-7,1862251-62-4,,
1,470,C[C@H](c1[cH-]ccc1-c1ccccc1P(c1ccccc1)c1ccccc1)P([C@@H]1C[C@@H]2CC[C@H]1C2)[C@@H]1C[C@@H]2CC[C@H]1C2.[Fe+2].c1cc[cH-]c1,849925-29-7,,SL-W022-1,
2,383,C[C@H](c1[cH-]ccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1)P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Fe+2].c1cc[cH-]c1,821009-34-1,,SL-W008-1,
3,326,Fc1c(F)c(F)c(P(CCP(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F ,76858-94-1,,,
4,501,c1ccc(-p2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)c(Oc2ccccc2-p2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)c1,898830-89-2,,,
5,503,c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,166330-10-5,,,
6,737,c1ccc(P(C[C@@H]2C[C@H](P(c3ccccc3)c3ccccc3)CN2)c2ccccc2)cc1,61478-29-3,,,
7,718,CC(C)(C)P1c2c(cccc2-c2ccccc2)O[C@@H]1[C@H]1Oc2cccc(-c3ccccc3)c2P1C(C)(C)C,2301856-53-9,,,
8,54,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3ccccc3c2-c2c(P(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)ccc3ccccc23)c1,135139-00-3,,,
9,50,CN(C)[C@H](c1ccccc1)[c-]1cccc1P(c1ccccc1)c1ccccc1.CN(C)[C@H](c1ccccc1)c1cc[cH-]c1P(c1ccccc1)c1ccccc1.[Fe+2],174467-31-3,,SL-M001-1,
10,748,C1CCC(P(CCCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,1002345-50-7,,,
11,151,C[C@H]([C@@H](C)P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,64896-28-2,,,
12,421,Cc1ccccc1P(c1ccccc1C)c1c[cH-]cc1[C@@H](c1ccccc1)N(C)C.Cc1ccccc1P(c1ccccc1C)c1ccc[c-]1[C@@H](c1ccccc1)N(C)C.[Fe+2],831226-39-2,,,
13,138,COc1cc(OC)c(-c2c(OC)cc(OC)cc2P(c2ccccc2)c2ccccc2)c(P(c2ccccc2)c2ccccc2)c1,1365531-76-5,,,
14,759,COc1cccc(P(C2CCCCC2)C2CCCCC2)c1-c1c(OC)cccc1P(C1CCCCC1)C1CCCCC1,172617-14-0,,,
15,693,COc1cccc(P(c2cc([Si](C)(C)C)cc([Si](C)(C)C)c2)c2cc([Si](C)(C)C)cc([Si](C)(C)C)c2)c1-c1c(OC)cccc1P(c1cc([Si](C)(C)C)cc([Si](C)(C)C)c1)c1cc([Si](C)(C)C)cc([Si](C)(C)C)c1,150971-37-2,150971-35-0,,
