,smiles,pat,pat_enc,ph,ph3,pb,pb3,pc,pc3,pn,pn3,po,po3,phal,phal3,psi,psi3,ps,ps3,pc1n2,pc2n1,pc1o2,pc2o1,po1n2,po2n1,pcn,pco,pon,par3,buch,ring,com,PHOSS,yield_casestudy_A,yield_casestudy_B,yield_casestudy_C,yield_casestudy_D
1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,66.0,25.5,,
2,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
3,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,53.5,92.0,87.22227044,0.005
4,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,51.5,3.0,74.48205103,
5,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,51.0,21.0,,
6,C1C2CC3CC1CC(P(C14CC5CC(CC(C5)C1)C4)C14CC5CC(CC(C5)C1)C4)(C2)C3,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,44.17186178,
7,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,,,
8,CC(C)(C)P(C(C)(C)C)C(C)(C)C,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.0,0.0,,
9,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,35.5,27.0,,
10,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.5,0.0,,
11,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.5,18.5,,
12,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,pc3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
