idx,CAS number,preferred name,smiles,INCHI string,dent,arrived,MW
1,255837-19-5,"Di-tert-butyl(2'-methyl[1,1'-biphenyl]-2-yl)phosphane",CC1=CC=CC=C1C1=CC=CC=C1P(C(C)(C)C)C(C)(C)C,"InChI=1S/C21H29P/c1-16-12-8-9-13-17(16)18-14-10-11-15-19(18)22(20(2,3)4)21(5,6)7/h8-15H,1-7H3
",mono,1,312.44
2,29949-85-7,Tris(3-chlorophenyl)phosphine,ClC1=CC=CC(=C1)P(C1=CC(Cl)=CC=C1)C1=CC(Cl)=CC=C1,"InChI=1S/C18H12Cl3P/c19-13-4-1-7-16(10-13)22(17-8-2-5-14(20)11-17)18-9-3-6-15(21)12-18/h1-12H
",mono,1,365.63
3,13360-92-4,Phenoxydiphenylphosphine,O(P(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C18H15OP/c1-4-10-16(11-5-1)19-20(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H
",mono,1,278.29
4,122-52-1,Triethyl phosphite,CCOP(OCC)OCC,"InChI=1S/C6H15O3P/c1-4-7-10(8-5-2)9-6-3/h4-6H2,1-3H3
",mono,1,166.16
5,255835-82-6,"Dicyclohexyl(2'-methoxy[1,1'-biphenyl]-2-yl)phosphane",COC1=CC=CC=C1C1=CC=CC=C1P(C1CCCCC1)C1CCCCC1,"InChI=1S/C25H33OP/c1-26-24-18-10-8-16-22(24)23-17-9-11-19-25(23)27(20-12-4-2-5-13-20)21-14-6-3-7-15-21/h8-11,16-21H,2-7,12-15H2,1H3
",mono,1,380.51
6,2741-38-0,Allyldiphenylphosphine,C=CCP(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C15H15P/c1-2-13-16(14-9-5-3-6-10-14)15-11-7-4-8-12-15/h2-12H,1,13H2
",mono,1,226.26
7,140-08-9,Tris(2-chloroethyl) phosphite,ClCCOP(OCCCl)OCCCl,"InChI=1S/C6H12Cl3O3P/c7-1-4-10-13(11-5-2-8)12-6-3-9/h1-6H2
",mono,1,269.49
8,1031-93-2,Diphenyl-p-tolylphosphine,CC1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C19H17P/c1-16-12-14-19(15-13-16)20(17-8-4-2-5-9-17)18-10-6-3-7-11-18/h2-15H,1H3
",mono,1,276.32
9,110231-30-6,Diphenyl-1-pyrenylphosphine,C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1,"InChI=1S/C28H19P/c1-3-10-23(11-4-1)29(24-12-5-2-6-13-24)26-19-17-22-15-14-20-8-7-9-21-16-18-25(26)28(22)27(20)21/h1-19H
",mono,1,386.43
10,53597-69-6,"1,3,5-Triaza-7-phosphaadamantane",C1N2CN3CN1CP(C2)C3,"InChI=1S/C6H12N3P/c1-7-2-9-3-8(1)5-10(4-7)6-9/h1-6H2
",mono,1,157.16
11,255836-67-0,"[1,1'-Binaphthalen]-2-yldi-tert-butylphosphine",CC(C)(C)P(C1=C(C2=CC=CC=C2C=C1)C1=CC=CC2=CC=CC=C12)C(C)(C)C,"InChI=1S/C28H31P/c1-27(2,3)29(28(4,5)6)25-19-18-21-13-8-10-16-23(21)26(25)24-17-11-14-20-12-7-9-15-22(20)24/h7-19H,1-6H3
",mono,1,398.53
12,824-11-3,"2,6,7-Trioxa-1-phosphabicyclo[2.2.2]octane, 4-ethyl-",CCC12COP(OC1)OC2,"InChI=1S/C6H11O3P/c1-2-6-3-7-10(8-4-6)9-5-6/h2-5H2,1H3
",mono,1,162.12
13,4706-17-6,Tris(hydroxypropyl)phosphine,OCCCP(CCCO)CCCO,"InChI=1S/C9H21O3P/c10-4-1-7-13(8-2-5-11)9-3-6-12/h10-12H,1-9H2
",mono,1,245.39
14,1246888-90-3,rac-BI-DIME,COc1cccc(OC)c1-c1cccc2c1P(C(C)(C)C)CO2,,mono,1,330.36
