Combi,k_eff
"(0,)",43.79102865021792
"(0, 35)",37.697505094593716
"(0, 7)",37.126655039441076
"(0, 7, 35)",35.285763872617224
"(0, 34)",32.570405610034456
"(0, 34, 35)",32.248264253012806
"(0, 61)",31.990289431841372
"(0, 7, 34)",31.867697549577716
"(0, 35, 61)",31.861520134217418
"(0, 53)",31.845840367093416
"(0, 20)",31.76817826518238
"(0, 35, 53)",31.76522075771878
"(0, 13)",31.746353983139198
"(0, 20, 35)",31.713446023111423
"(0, 13, 35)",31.698896501749303
"(35,)",31.603981538969514
"(0, 18, 35)",31.549094529302423
"(0, 18)",31.52165102446888
"(0, 35, 65)",31.48362934859201
"(0, 7, 61)",31.480953430782325
"(0, 65)",31.42345325340326
"(0, 7, 53)",31.384654054283686
"(0, 35, 54)",31.3522136814439
"(0, 35, 63)",31.33767687377969
"(0, 7, 20)",31.33287931967633
"(0, 7, 13)",31.31832979831421
"(0, 54)",31.226329752681092
"(0, 63)",31.20452454118478
"(0, 7, 18)",31.16852782586733
"(0, 7, 65)",31.103062645156918
"(0, 35, 60)",31.046365986904195
"(0, 26, 35)",31.039870128210218
"(7, 35)",31.033131483816874
"(0, 30, 35)",31.012115249287955
"(0, 7, 54)",30.971646978008806
"(0, 7, 63)",30.957110170344595
"(0, 8, 35)",30.89671908119585
"(0, 60)",30.767558210871538
"(0, 26)",30.75781442283057
"(0, 30)",30.716182104447178
"(0, 7, 60)",30.665799283469102
"(0, 7, 26)",30.659303424775125
"(0, 7, 30)",30.631548545852862
"(0, 8)",30.54308785230902
"(0, 7, 8)",30.516152377760758
"(0, 17, 35)",30.480026882196896
"(7,)",30.462281428664234
"(0, 7, 17)",30.099460178761802
"(6, 7, 35)",30.086539102784933
"(0, 16, 35)",30.082506820354414
"(0, 19, 35)",30.080691717128982
"(0, 21, 35)",30.074039048189597
"(0, 35, 37)",30.022716611463984
"(0, 17)",29.918049553810587
"(0, 29, 35)",29.915517577636177
"(6, 35)",29.898667939845282
"(0, 35, 55)",29.889912824969386
"(0, 35, 67)",29.821820279780088
"(0, 7, 16)",29.70194011691932
"(0, 7, 19)",29.70012501369389
"(0, 7, 21)",29.693472344754504
"(0, 7, 37)",29.64214990802889
"(0, 33, 35)",29.626516323844285
"(0, 7, 29)",29.534950874201083
"(0, 7, 55)",29.509346121534293
"(0, 7, 67)",29.441253576344995
"(7, 14, 35)",29.419870089390695
"(6, 7)",29.327817884692642
"(0, 16)",29.321769461046866
"(0, 19)",29.319046806208718
"(0, 21)",29.309067802799646
"(0, 7, 33)",29.245949620409192
"(0, 37)",29.23208414771122
"(0, 7, 52)",29.15646509850518
"(0, 29)",29.07128559696951
"(0, 55)",29.032878467969322
"(0, 9, 35)",28.960615852982183
"(0, 67)",28.930739650185377
"(0, 7, 66)",28.91690448029566
"(14, 35)",28.898664419753928
"(0, 35, 38)",28.809634598238215
"(6, 14, 35)",28.663561060076297
"(0, 33)",28.63778371628167
"(0, 7, 9)",28.58004914954709
"(0, 35, 50)",28.53766618048956
"(0, 52)",28.503556933425656
"(0, 34, 61)",28.443453811177914
"(0, 7, 38)",28.429067894803122
"(0, 7, 43)",28.36326838759542
"(0, 34, 53)",28.347154434679275
"(7, 14)",28.327814364601288
"(0, 20, 34)",28.29537970007192
"(6, 7, 14)",28.282994356641208
"(0, 13, 34)",28.2808301787098
"(6,)",28.193354340721047
"(0, 7, 50)",28.157099477054466
"(0, 66)",28.144216006111378
"(0, 35, 39)",28.13736698895072
"(0, 24, 35)",28.136623886624644
"(0, 18, 34)",28.13102820626292
"(0, 35, 44)",28.071885315078607
"(0, 34, 65)",28.065563025552507
"(0, 12, 35)",28.013241068020278
"(0, 53, 61)",27.960410315883884
"(0, 2, 35)",27.940287897537416
"(0, 34, 54)",27.934147358404395
"(0, 32, 35)",27.921004699097928
"(0, 34, 63)",27.919610550740185
"(0, 20, 61)",27.908635581276528
"(0, 13, 61)",27.894086059914407
"(0, 1, 35)",27.89266408189414
"(0, 35, 71)",27.88217769156622
"(0, 20, 53)",27.812336204777893
"(7, 34, 35)",27.805348512494916
"(0, 13, 53)",27.797786683415772
"(0, 25, 35)",27.77247599571153
"(0, 7, 39)",27.756800285515627
"(0, 7, 24)",27.75605718318955
"(0, 13, 20)",27.746011948808412
"(0, 18, 61)",27.744284087467527
"(0, 7, 44)",27.691318611643513
"(0, 61, 65)",27.678818906757115
"(0, 18, 53)",27.647984710968892
"(0, 9)",27.63893300998852
"(0, 7, 12)",27.632674364585185
"(0, 34, 60)",27.62829966386469
"(0, 26, 34)",27.621803805170714
"(0, 18, 20)",27.596209976361532
"(0, 30, 34)",27.59404892624845
"(0, 53, 65)",27.582519530258477
"(0, 13, 18)",27.58166045499941
"(0, 35, 59)",27.579979668485233
"(0, 2, 7)",27.559721194102323
"(0, 54, 61)",27.547403239609004
"(0, 7, 32)",27.540437995662835
"(0, 61, 63)",27.532866431944793
"(0, 20, 65)",27.53074479565112
"(0, 13, 65)",27.516195274289
"(0, 1, 7)",27.512097378459046
"(0, 7, 71)",27.501610988131127
"(0, 8, 34)",27.478652758156347
"(0, 35, 40)",27.46257216738421
"(0, 53, 63)",27.436567055446154
"(7, 35, 61)",27.418604393699525
"(0, 38)",27.412461127872568
"(0, 20, 54)",27.399329128503005
"(0, 7, 25)",27.391909292276438
"(0, 20, 63)",27.384792320838798
"(0, 13, 54)",27.384779607140885
"(0, 13, 63)",27.370242799476678
"(0, 18, 65)",27.36639330184212
"(7, 35, 53)",27.32230501720089
"(0, 43)",27.313761867061014
"(7, 20, 35)",27.27053028259353
"(7, 13, 35)",27.255980761231406
"(0, 60, 61)",27.2415555450693
"(0, 26, 61)",27.235059686375322
"(0, 31, 35)",27.229212701561497
"(0, 18, 63)",27.220440827029798
"(0, 30, 61)",27.20730480745306
"(0, 7, 59)",27.19941296505014
"(6, 14)",27.193350820629693
"(0, 63, 65)",27.154975646319386
"(0, 53, 60)",27.14525616857066
"(0, 26, 53)",27.138760309876687
"(0, 30, 53)",27.11100543095442
"(7, 18, 35)",27.10617878878453
"(0, 20, 60)",27.093481433963305
"(0, 8, 61)",27.091908639360955
"(0, 20, 26)",27.086985575269324
"(0, 7, 40)",27.082005463949116
"(0, 13, 60)",27.078931912601185
"(0, 13, 26)",27.072436053907204
"(0, 17, 34)",27.06196055915739
"(0, 20, 30)",27.059230696347065
"(6, 34, 35)",27.049039483180522
"(0, 13, 30)",27.044681174984945
"(7, 35, 65)",27.040713608074118
"(0, 54, 63)",27.023559979171274
"(0, 50)",27.004508501249582
"(0, 8, 53)",26.995609262862317
"(0, 3, 35)",26.99009870271234
"(0, 7, 41)",26.975664690859947
"(0, 8, 20)",26.94383452825496
"(0, 10, 35)",26.931356749514368
"(0, 8, 13)",26.92928500689284
"(0, 18, 60)",26.929129940154304
"(7, 35, 54)",26.909297940926002
"(0, 18, 30)",26.894879202538064
"(7, 35, 63)",26.894761133261795
"(0, 15, 35)",26.886061347569555
"(0, 60, 65)",26.863664759443893
"(0, 26, 65)",26.857168900749915
"(0, 7, 31)",26.848645998126404
"(0, 8, 18)",26.77948303444596
"(0, 35, 48)",26.735471601297025
"(0, 54, 60)",26.73224909229578
"(0, 26, 54)",26.7257532336018
"(0, 35, 51)",26.72337151759794
"(0, 60, 63)",26.71771228463157
"(0, 35, 64)",26.715991301415535
"(0, 8, 65)",26.714017853735548
"(0, 26, 63)",26.711216425937593
"(0, 30, 54)",26.69799835467954
"(0, 30, 63)",26.68346154701533
"(0, 17, 61)",26.675216440362
"(6, 7, 34)",26.66847277974543
"(0, 16, 34)",26.66444049731491
"(0, 19, 34)",26.662625394089478
"(6, 35, 61)",26.66229536438513
"(0, 21, 34)",26.655972725150093
"(0, 3, 7)",26.609531999277248
"(0, 34, 37)",26.60465028842448
"(7, 35, 60)",26.603450246386302
"(7, 26, 35)",26.59695438769232
"(0, 8, 54)",26.582602186587437
"(0, 17, 53)",26.578917063863365
"(7, 30, 35)",26.569199508770062
"(0, 8, 63)",26.568065378923226
"(0, 7, 10)",26.550790046079275
"(0, 17, 20)",26.527142329256005
"(6, 20, 35)",26.514221253279135
"(0, 13, 17)",26.51259280789388
"(0, 7, 15)",26.505494644134462
"(6, 13, 35)",26.49967173191701
"(0, 29, 34)",26.497451254596672
"(34, 35)",26.476882054410257
"(0, 34, 55)",26.471846501929882
"(7, 8, 35)",26.453803340677958
"(0, 26, 60)",26.4199055390621
"(0, 39)",26.40405971394133
"(0, 34, 67)",26.403753956740584
"(0, 24)",26.40294506045221
"(0, 35, 49)",26.40207903461246
"(0, 30, 60)",26.392150660139837
"(0, 26, 30)",26.38565480144586
"(14, 34, 35)",26.382370469786284
"(0, 23, 35)",26.376153192754998
"(0, 17, 18)",26.362790835447004
"(0, 7, 48)",26.354904897861932
"(6, 18, 35)",26.349869759470135
"(0, 7, 51)",26.342804814162847
"(0, 7, 64)",26.33542459798044
"(0, 44)",26.30583720313315
"(0, 17, 65)",26.297325654736593
"(6, 35, 65)",26.284404578759723
"(6, 7, 61)",26.281728660950037
"(0, 16, 61)",26.27769637851952
"(0, 19, 61)",26.275881275294086
"(0, 8, 26)",26.270258633353755
"(0, 21, 61)",26.2692286063547
"(0, 8, 30)",26.242503754431493
"(0, 37, 61)",26.21790616962909
"(0, 12)",26.21787083254566
"(0, 33, 34)",26.20845000080478
