pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
5,3,1,1.0,2,output,0.1,True,15,1.0,1.0,0.0,0.0,6574.58
5,3,2,1.0,2,output,0.1,True,15,1.0,1.0,0.0,0.0,13131.71
4,3,1,1.0,2,output,0.1,True,15,1.0,1.0,0.0,0.0,14938.71
5,3,3,1.0,2,output,0.1,True,15,1.0,1.0,0.0,0.0,19688.56
4,3,2,1.0,2,output,0.1,True,15,1.0,1.0,0.0,0.0,29860.83
4,3,3,1.0,2,output,0.1,True,15,1.0,1.0,0.0,0.0,44782.42
6,3,3,1.0,2,output,0.1,True,15,0.99,0.99,0.34,3.382957286162509,10308.01
6,3,1,1.0,2,output,0.1,True,15,0.97,0.97,0.63,3.5823316429387164,3447.67
6,3,2,1.0,2,output,0.1,True,15,0.97,0.97,0.71,4.050419731336495,6877.83
7,3,3,1.0,2,output,0.1,True,15,0.95,0.95,1.13,4.945007583411778,6498.4
7,3,2,1.0,2,output,0.1,True,15,0.91,0.91,2.31,7.670325938315791,4338.38
9,3,3,1.0,2,output,0.1,True,15,0.88,0.88,3.35,9.71738133449542,2692.46
8,3,3,1.0,2,output,0.1,True,15,0.88,0.88,3.16,8.839366493137389,3900.83
7,3,1,1.0,2,output,0.1,True,15,0.84,0.84,4.59,11.077991695248738,2177.99
9,3,2,1.0,2,output,0.1,True,15,0.82,0.82,5.74,13.242069324693931,1801.47
8,3,2,1.0,2,output,0.1,True,15,0.82,0.82,4.31,9.318470904606615,2606.63
10,3,3,1.0,2,output,0.1,True,15,0.8,0.8,6.96,24.690046577517826,1706.17
10,3,2,1.0,2,output,0.1,True,15,0.75,0.75,10.73,33.14418651890554,1143.81
8,3,1,1.0,2,output,0.1,True,15,0.7,0.7,8.92,17.59640872450967,1312.3
9,3,1,1.0,2,output,0.1,True,15,0.68,0.68,9.57,16.04010910187334,910.78
4,2,3,1.0,2,output,0.1,True,15,0.66,0.66,10.48,16.086938801400343,1312.34
4,2,2,1.0,2,output,0.1,True,15,0.62,0.62,12.41,20.412787658720205,880.28
5,2,3,1.0,2,output,0.1,True,15,0.6,0.6,11.87,17.44285240435176,796.5
10,3,1,1.0,2,output,0.1,True,15,0.53,0.53,21.74,41.199665047182116,581.33
4,2,1,1.0,2,output,0.1,True,15,0.52,0.52,24.8,51.524557251858056,450.5
5,2,2,1.0,2,output,0.1,True,15,0.5,0.5,25.15,54.61087345941282,536.64
