Combi,k_eff
"(8, 16)",39.467286217446
"(6, 8, 16)",32.26105935394013
"(0, 8, 16)",31.252122861011415
"(7, 8, 16)",31.078872397152473
"(8, 9, 16)",30.957534324677734
"(8, 14, 16)",30.001466023391288
"(8, 15, 16)",28.818289059612372
"(2, 8, 16)",28.605192305037114
"(17,)",28.168571040012274
"(8, 10, 16)",27.89111523374011
"(11, 14, 17)",27.684889811793816
"(11, 14)",27.50682000227076
"(17, 18)",26.96734235000722
"(11, 14, 18)",26.88407068512378
"(4, 8, 16)",26.86284282729905
"(3, 8, 16)",26.62869715638797
"(5, 8, 16)",26.250524470538743
"(8, 12, 16)",26.250524470538743
"(8, 13, 16)",26.250524470538743
"(18,)",25.766113660002162
"(11, 14, 16)",24.476361509648203
"(6, 11, 14)",24.305901015191115
"(6, 17, 18)",23.988763116739534
"(0, 11, 14)",23.2969645222624
"(7, 11, 14)",23.123714058403458
"(6, 17)",23.10008784510822
"(9, 11, 14)",23.00237598592872
"(7, 17, 18)",22.806576159951874
"(16, 18)",22.154549896788797
"(6, 18)",21.898859155103164
"(14, 17, 18)",21.729169786190692
"(1, 17, 18)",21.33240830593652
"(7, 17)",21.326807409926733
"(9, 17)",21.144800301214623
"(11, 14, 15)",20.863130720863357
"(6, 16, 18)",20.780234814593918
"(2, 11, 14)",20.650033966288103
"(0, 18)",20.38545441571009
"(2, 17, 18)",20.33289606783652
"(6, 7, 17)",20.22840649001921
"(7, 18)",20.125578719921677
"(0, 16, 18)",19.771298321665203
"(14, 17)",19.71069784928496
"(10, 17, 18)",19.618818996539513
"(0, 6, 18)",19.600837827208114
"(7, 16, 18)",19.59804785780626
"(6, 7, 18)",19.427587363349172
"(6, 14, 17)",19.151000116258025
"(1, 17)",19.115555628903703
"(7, 9, 17)",18.924881460756815
"(4, 11, 14)",18.907684488550036
"(11, 17, 18)",18.83321288821476
"(1, 6, 17)",18.754238636003855
"(16,)",18.542986133575432
"(14, 16, 18)",18.52064148404508
"(14, 18)",18.509469159279902
"(0, 7, 18)",18.418650870420457
