pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
12,2,2,1.0,2,output,0.1,True,10,0.0,0.0,96.26,244.95949134499773,59.98
11,2,1,1.0,2,output,0.1,True,10,0.0,0.0,75.94,123.33019257262188,66.78
11,2,2,1.0,2,output,0.1,True,10,0.0,0.0,66.6,114.12834880081283,68.94
9,2,1,1.0,2,output,0.1,True,10,0.0,0.0,44.08,128.63651736579314,69.03
10,2,1,1.0,2,output,0.1,True,10,0.0,0.0,40.07,106.90783460532721,72.01
12,2,1,1.0,2,output,0.1,True,10,0.0,0.0,83.91,355.4893555368431,72.8
10,2,2,1.0,2,output,0.1,True,10,0.0,0.0,75.22,141.97510908606478,73.1
8,2,1,1.0,2,output,0.1,True,10,0.0,0.0,45.71,111.98038176395006,75.55
12,2,3,1.0,2,output,0.1,True,10,0.0,0.0,82.24,237.85184968799376,81.3
7,2,1,1.0,2,output,0.1,True,10,0.0,0.0,17.26,30.244212669533983,87.16
9,2,2,1.0,2,output,0.1,True,10,0.0,0.0,50.74,105.86695612890736,92.28
11,2,3,1.0,2,output,0.1,True,10,0.0,0.0,50.22,109.75350381650694,95.73
10,2,3,1.0,2,output,0.1,True,10,0.0,0.0,46.93,119.53704488567553,101.76
6,2,1,1.0,2,output,0.1,True,10,0.0,0.0,20.9,40.66509559806788,102.53
8,2,2,1.0,2,output,0.1,True,10,0.0,0.0,46.9,116.49253194947735,109.89
9,2,3,1.0,2,output,0.1,True,10,0.0,0.0,33.79,67.39069594536029,131.52
12,3,1,1.0,2,output,0.1,True,10,0.0,0.0,5.15,14.578322948816847,134.88
12,2,2,1.0,2,coop,0.1,True,10,0.0,0.27,11312.03,8089.319834763613,135.96
11,2,1,1.0,2,coop,0.1,True,10,0.0,0.34,10718.39,8358.44673237199,141.31
7,2,2,1.0,2,output,0.1,True,10,0.0,0.0,15.95,33.78146681244022,141.61
10,2,2,1.0,2,coop,0.1,True,10,0.0,0.26,12282.48,7857.163509155195,148.11
12,2,1,1.0,2,coop,0.1,True,10,0.0,0.29,11149.16,8304.430792920126,148.62
5,2,1,1.0,2,output,0.1,True,10,0.0,0.0,7.67,10.313151797583512,148.76
11,2,2,1.0,2,coop,0.1,True,10,0.0,0.34,11899.54,8063.8454020647,149.54
8,2,3,1.0,2,output,0.1,True,10,0.0,0.0,15.4,30.27540255719154,158.62
11,3,1,1.0,2,output,0.1,True,10,0.0,0.0,7.51,20.354603901820347,183.93
6,2,2,1.0,2,output,0.1,True,10,0.0,0.0,15.54,32.32287734716698,185.73
10,2,1,1.0,2,coop,0.1,True,10,0.0,0.34,11335.0,8420.357475784505,187.57
12,2,3,1.0,2,coop,0.1,True,10,0.0,0.38,11585.22,8111.893849872544,187.78
9,2,2,1.0,2,coop,0.1,True,10,0.0,0.38,12086.72,7942.395511531768,188.38
10,2,3,1.0,2,coop,0.1,True,10,0.0,0.4,12148.56,8176.923306867931,194.88
11,2,3,1.0,2,coop,0.1,True,10,0.0,0.42,11784.28,8238.237619879632,196.4
7,2,3,1.0,2,output,0.1,True,10,0.0,0.0,8.36,15.881133460808144,206.29
10,3,1,1.0,2,output,0.1,True,10,0.0,0.0,4.47,16.938391304961637,219.02
9,2,3,1.0,2,coop,0.1,True,10,0.0,0.45,10713.18,8057.111717458062,224.54
9,2,1,1.0,2,coop,0.1,True,10,0.0,0.33,12888.24,8344.964931166578,235.24
8,2,2,1.0,2,coop,0.1,True,10,0.0,0.47,10509.55,7966.77718952275,244.52
8,2,1,1.0,2,coop,0.1,True,10,0.0,0.46,10884.25,8540.212747203666,253.55
12,3,2,1.0,2,output,0.1,True,10,0.0,0.0,2.61,8.742877100817555,257.24
5,2,2,1.0,2,output,0.1,True,10,0.0,0.0,9.89,24.564973030719983,270.82
6,2,3,1.0,2,output,0.1,True,10,0.0,0.0,6.85,10.285305051382773,272.0
6,2,1,1.0,2,coop,0.1,True,10,0.0,0.68,8011.45,7352.451376751838,272.1
8,2,3,1.0,2,coop,0.1,True,10,0.0,0.53,10061.71,8080.726334055621,276.11
7,2,1,1.0,2,coop,0.1,True,10,0.0,0.56,10222.93,8135.898518608747,286.73
7,2,2,1.0,2,coop,0.1,True,10,0.0,0.65,8614.27,7592.389153428583,299.34
9,3,1,1.0,2,output,0.1,True,10,0.0,0.0,1.45,2.0560885194952085,338.37
11,3,2,1.0,2,output,0.1,True,10,0.0,0.0,1.61,2.4203098975131265,355.13
8,3,1,1.0,2,output,0.1,True,10,0.0,0.0,1.05,0.2179449471770337,362.37
7,2,3,1.0,2,coop,0.1,True,10,0.0,0.59,9606.49,8070.938881561427,377.5
12,3,1,1.0,2,coop,0.1,True,10,0.0,0.75,7075.15,6592.908690972446,378.71
12,3,3,1.0,2,output,0.1,True,10,0.0,0.0,1.18,0.589576118919347,379.61
6,2,2,1.0,2,coop,0.1,True,10,0.0,0.77,7400.72,6938.353241339041,382.87
5,2,3,1.0,2,output,0.1,True,10,0.0,0.0,2.56,3.4273021460034716,400.71
11,3,1,1.0,2,coop,0.1,True,10,0.0,0.79,7042.48,6691.942068607588,421.26
10,3,2,1.0,2,output,0.1,True,10,0.0,0.0,1.15,0.7262919523166975,424.75
10,3,1,1.0,2,coop,0.1,True,10,0.0,0.82,6478.1,6208.801295741392,441.4
5,2,2,1.0,2,coop,0.1,True,10,0.0,0.84,5813.83,5434.525797261432,477.11
6,2,3,1.0,2,coop,0.1,True,10,0.0,0.78,7177.6,6733.99396940627,478.76
11,3,3,1.0,2,output,0.1,True,10,0.0,0.0,1.23,0.8928045698807773,526.22
5,2,1,1.0,2,coop,0.1,True,10,0.0,0.78,7251.46,6841.921996661465,547.04
8,3,1,1.0,2,coop,0.1,True,10,0.0,0.94,4614.03,3808.2254173171004,590.12
