pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,coop_accuracy,avg rank,stdev rank,num_pools
8,3,2,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,973.9
7,3,2,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,1651.8
6,3,2,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,2487.05
5,3,2,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,4823.9
6,3,2,1.0,2,output,0.1,True,10,0.95,0.6,2.6153393661244047,2197.65
5,3,2,1.0,2,output,0.1,True,10,0.95,0.6,2.6153393661244047,4473.15
11,3,2,1.0,2,coop,0.1,True,10,0.95,35130.1,153128.55577647823,681.7
10,3,2,1.0,2,coop,0.1,True,10,0.95,53036.1,231179.00025951752,660.7
9,3,2,1.0,2,coop,0.1,True,10,0.9,153621.85,530931.918501824,971.65
12,3,2,1.0,2,coop,0.1,True,10,0.85,118860.4,355002.91019277583,593.05
6,2,2,1.0,2,coop,0.1,True,10,0.7,367342.2,773707.896662791,230.65
7,3,2,1.0,2,output,0.1,True,10,0.6,14.4,23.38461032388609,1402.4
5,2,2,1.0,2,coop,0.1,True,10,0.6,294520.75,478413.9008273981,421.7
7,2,2,1.0,2,coop,0.1,True,10,0.45,561280.3,780719.5963230396,185.7
8,3,2,1.0,2,output,0.1,True,10,0.4,38.9,38.439432878230654,712.75
11,3,2,1.0,2,output,0.1,True,10,0.4,131.0,221.33842865620963,359.9
12,3,2,1.0,2,output,0.1,True,10,0.35,306.75,634.0298790277948,257.05
10,3,2,1.0,2,output,0.1,True,10,0.35,509.65,1216.957652303481,425.65
10,2,2,1.0,2,coop,0.1,True,10,0.35,655943.55,813005.6281208927,127.85
9,3,2,1.0,2,output,0.1,True,10,0.3,96.1,167.85139260667458,664.6
5,2,2,1.0,2,output,0.1,True,10,0.3,440.35,1158.955791866109,270.8
11,2,2,1.0,2,coop,0.1,True,10,0.3,622475.75,777083.462959731,124.5
12,2,2,1.0,2,coop,0.1,True,10,0.3,667517.9,878106.9774726711,115.7
9,2,2,1.0,2,coop,0.1,True,10,0.3,721037.5,870290.4756508312,139.65
7,2,2,1.0,2,output,0.1,True,10,0.2,829.3,1184.9033336099615,141.15
6,2,2,1.0,2,output,0.1,True,10,0.2,1374.8,4480.206865759661,185.15
11,2,2,1.0,2,output,0.1,True,10,0.15,2499.4,4296.277882074203,68.25
8,2,2,1.0,2,output,0.1,True,10,0.15,4749.0,12159.693803710685,109.15
8,2,2,1.0,2,coop,0.1,True,10,0.15,829015.55,825523.3632918862,146.3
9,2,2,1.0,2,output,0.1,True,10,0.1,1031.45,1760.7114606033551,92.05
12,2,2,1.0,2,output,0.1,True,10,0.1,4158.25,6736.96187368609,60.95
10,2,2,1.0,2,output,0.1,True,10,0.05,5263.95,17494.98519712149,72.5
7,3,1,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,832.45
6,3,1,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,1283.2
5,3,1,1.0,2,output,0.1,True,10,1.0,0.0,0.0,2242.65
5,3,1,1.0,2,coop,0.1,True,10,1.0,0.0,0.0,2466.65
8,3,1,1.0,2,coop,0.1,True,10,0.95,118491.65,516493.12800339126,501.6
