pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
5,2,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,284.64
10,3,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,320.16
9,3,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,338.6
11,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,354.58
8,3,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,362.46
12,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,379.04
5,2,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,407.21
10,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,424.44
12,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,428.04
9,3,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,459.93
8,3,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,494.98
11,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,514.0
11,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,525.65
10,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,570.59
12,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,591.09
10,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,630.59
9,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,664.61
8,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,713.14
11,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,715.14
10,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,804.42
9,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,832.72
7,3,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,858.83
8,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,903.05
9,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,990.8
8,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,1063.04
12,4,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1074.63
6,3,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,1104.83
9,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1185.93
6,3,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1280.38
8,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1282.04
11,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,1387.63
7,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,1401.88
12,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,1559.21
7,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1572.99
11,4,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1673.73
12,4,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,1903.15
10,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,1985.13
7,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,2097.23
6,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,2197.97
5,3,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,2242.78
10,4,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,2246.6
7,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,2270.85
12,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,2332.71
6,3,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,2410.78
5,3,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,2467.27
12,4,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,2693.35
11,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,2761.36
11,4,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,3083.73
9,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,3225.77
6,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,3291.27
9,4,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,3462.15
6,3,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,3522.05
10,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,3957.39
11,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,4135.39
10,4,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,4256.34
5,3,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,4473.84
11,4,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,4478.4
8,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,5281.01
8,4,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,5531.89
10,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,5929.22
10,4,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,6235.68
9,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,6438.63
9,4,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,6699.73
5,3,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,6704.81
9,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,9651.59
9,4,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,9932.86
7,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,9979.62
7,4,1,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,10282.82
8,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,10548.84
8,4,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,10823.48
8,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,15816.83
8,4,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,16105.47
6,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,19745.3
7,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,19947.14
7,4,2,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,20256.23
7,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,29914.64
7,4,3,1.0,2,coop,0.1,True,10,1.0,1.0,0.0,0.0,30229.48
6,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,39478.3
5,4,1,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,47939.04
6,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,59211.08
5,4,2,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,95867.0
5,4,3,1.0,2,output,0.1,True,10,1.0,1.0,0.0,0.0,143795.01
11,3,1,1.0,2,output,0.1,True,10,0.99,0.99,0.48,4.775939698111776,183.55
10,3,1,1.0,2,output,0.1,True,10,0.99,0.99,0.5,4.9749371855331,218.43
6,2,3,1.0,2,coop,0.1,True,10,0.99,0.99,207.93,2068.877377975794,282.16
11,3,1,1.0,2,coop,0.1,True,10,0.99,0.99,50.62,503.66264066337095,293.12
5,2,3,1.0,2,output,0.1,True,10,0.99,0.99,0.48,4.775939698111775,400.71
7,3,1,1.0,2,output,0.1,True,10,0.99,0.99,0.48,4.775939698111776,706.89
12,4,1,1.0,2,output,0.1,True,10,0.99,0.99,0.81,8.059398240563622,786.44
6,4,1,1.0,2,coop,0.1,True,10,0.99,0.99,208.14,2070.9668515937183,20068.79
12,3,1,1.0,2,coop,0.1,True,10,0.98,0.98,214.89,2069.6282124816526,248.19
12,3,2,1.0,2,output,0.1,True,10,0.98,0.98,1.22,8.55053214718242,256.9
