pool,output,coop
"[1, 2, 5, 9]",15.86777778,0.777127925
"[1, 2, 6, 8]",14.07666667,0.154350797
"[1, 3, 4, 7]",44.64333333,0.925664989
"[1, 5, 10, 11]",11.97111111,0.289527229
"[2, 3, 7, 11]",29.60333333,0.216242125
"[2, 4, 8, 10]",6.292222222,0.157131181
"[3, 4, 5, 8]",9.463333333,-0.434274328
"[3, 6, 9, 10]",32.14777778,0.523190313
"[4, 6, 9, 11]",8.982222222,-0.205113078
"[5, 6, 7, 10]",10.00888889,-0.04495335
"[7, 8, 9, 11]",11.35666667,0.037770332
"[1, 3]",60.48444444,2.39397718
"[1, 4]",5.46,0.07992973
"[1, 7]",13,0.57430798
"[4, 7]",9.11,0.699336922
