pair,score
"[1a,1c]",0.925664988
"[1a,1d]",0.925664988
"[1a,1g]",0.925664988
"[1d,1g]",0.925664988
"[1a,1i]",0.777127923
"[1b,1e]",0.777127923
"[1b,1i]",0.777127923
"[1e,1i]",0.777127923
"[1c,1g]",0.570953556
"[1a,1e]",0.533327575
"[1c,1f]",0.523190312
"[1c,1i]",0.523190312
"[1c,1j]",0.523190312
"[1i,1j]",0.523190312
"[1a,1b]",0.46573936
"[1a,1j]",0.289527228
"[1a,1k]",0.289527228
"[1e,1k]",0.289527228
"[1j,1k]",0.289527228
"[1c,1d]",0.24569533
"[1f,1j]",0.239118481
"[1b,1c]",0.216242125
"[1b,1g]",0.216242125
"[1b,1k]",0.216242125
"[1c,1k]",0.216242125
"[1f,1i]",0.159038617
"[1b,1d]",0.157131179
"[1b,1j]",0.157131179
"[1d,1j]",0.157131179
"[1h,1j]",0.157131179
"[1b,1h]",0.155740988
"[1a,1f]",0.154350797
"[1a,1h]",0.154350797
"[1b,1f]",0.154350797
"[1f,1h]",0.154350797
"[1g,1k]",0.127006228
"[1e,1j]",0.122286938
"[1g,1h]",0.037770331
"[1g,1i]",0.037770331
"[1h,1i]",0.037770331
"[1h,1k]",0.037770331
"[1e,1f]",-0.044953351
"[1e,1g]",-0.044953351
"[1f,1g]",-0.044953351
"[1g,1j]",-0.044953351
"[1i,1k]",-0.083671374
"[1d,1h]",-0.138571575
"[1d,1f]",-0.205113078
"[1d,1i]",-0.205113078
"[1d,1k]",-0.205113078
"[1f,1k]",-0.205113078
"[1c,1e]",-0.434274328
"[1c,1h]",-0.434274328
"[1d,1e]",-0.434274328
"[1e,1h]",-0.434274328
