pool,output,Q_old,Q
"[1a,1c]",60.48444444,2.393977178,2.3939771800131076
"[1e,1f]",11.36888889,1.113612886,1.113612890061689
"[1d,1f]",11.89777778,1.071981421,1.0719814242549557
"[1a,1i]",11.68,1.024263428,1.0242634315424612
"[1c,1d]",25.46,0.707069953,0.7070699542631111
"[1d,1g]",9.11,0.699336922,0.6989225028617394
"[1e,1g]",8.283333333,0.657034893,0.657034896540186
"[1b,1c]",26.15333333,0.606141247,0.6061412482528326
"[1a,1g]",13.02,0.57430798,0.5745767266652166
"[1a,1j]",7.148888889,0.489696686,0.4896966890370529
"[1c,1i]",22.08111111,0.413241358,0.41324135939052353
"[1h,1j]",2.674444444,0.396171686,0.3961716931795425
"[1c,1k]",22.04555556,0.251956082,0.2519560828887737
"[1c,1e]",18.04555556,0.240149663,0.2401496641640002
"[1a,1k]",9.215555556,0.188422409,0.188422410212834
"[1a,1h]",6.0,0.180327867,0.18032786892985753
"[1a,1e]",5.334444444,0.135793705,0.13579370718747952
"[1b,1g]",7.53,0.118686033,0.11868603484731777
"[1c,1g]",20.00333333,0.103733676,0.10373367631359431
"[1a,1b]",6.98,0.08572416,0.08572416175102471
"[1a,1d]",5.46,0.07992973,0.07905138339920947
"[1a,1f]",9.031111111,0.044193216,0.04419321682882571
"[1d,1j]",1.958888889,0.035231938,0.035231943262088894
"[1c,1j]",14.55555556,-0.006672733,-0.006672732664845693
"[1g,1k]",7.318888889,-0.091573577,-0.09157357608226835
"[1i,1j]",2.268888889,-0.128095648,-0.12809564496598347
"[1b,1k]",5.245555556,-0.156210904,-0.15621090256535064
"[1f,1k]",6.787777778,-0.195443172,-0.1954431713474737
"[1b,1j]",2.615555556,-0.19795571,-0.19795570706699683
"[1b,1f]",5.344444444,-0.248437501,-0.24843750015644528
"[1b,1i]",3.057777778,-0.277500658,-0.277500656420517
"[1d,1k]",3.428888889,-0.292688519,-0.29268851708491006
"[1b,1d]",2.462222222,-0.300946374,-0.30094637245720435
"[1e,1h]",1.266666667,-0.301470592,-0.30147058792306447
"[1e,1i]",1.583333333,-0.366666669,-0.36666666680000004
"[1d,1e]",1.111111111,-0.379267539,-0.3792675357541899
"[1c,1f]",11.32888889,-0.387737945,-0.38773794514318316
"[1d,1i]",1.737777778,-0.393092746,-0.3930927435638899
"[1e,1j]",0.924444444,-0.395348841,-0.3459302326056737
"[1g,1i]",3.645555556,-0.399634036,-0.3996340347704037
"[1i,1k]",3.271111111,-0.411435427,-0.41143542587319326
"[1b,1h]",2.063333333,-0.41805077,-0.41805076795135687
"[1c,1h]",8.574444444,-0.425989289,-0.4259892890172584
"[1g,1j]",2.461111111,-0.517534307,-0.5175343063572146
"[1f,1i]",3.082222222,-0.522300672,-0.5223006716952625
"[1h,1k]",2.268888889,-0.534215329,-0.5342153284337186
"[1g,1h]",2.415555556,-0.55147514,-0.5514751392158881
"[1d,1h]",0.957777778,-0.559979583,-0.5405819296262508
"[1e,1k]",1.703333333,-0.620168485,-0.6201684836838621
"[1f,1g]",3.02,-0.662611718,-0.662611718007685
"[1f,1j]",1.834444444,-0.665315225,-0.6653152241369851
"[1b,1e]",1.023333333,-0.676046431,-0.6760464299445639
"[1h,1i]",0.926666667,-0.678983835,-0.6535796767143672
"[1f,1h]",1.581111111,-0.725766044,-0.7257660435940825
"[1j,1k]",0.0,-1.0,-0.7819767442018912
