pool,yield,Q
"[1a,1b,1e,1i]",15.86777778,0.777127925
"[1a,1b,1f,1h]",14.07666667,0.154350797
"[1a,1c,1d,1g]",44.64333333,0.925664989
"[1a,1e,1j,1k]",11.97111111,0.289527229
"[1b,1c,1g,1k]",29.60333333,0.216242125
"[1b,1d,1h,1j]",6.292222222,0.157131181
"[1c,1d,1e,1h]",9.463333333,-0.434274328
"[1c,1f,1i,1j]",32.14777778,0.523190313
"[1d,1f,1i,1k]",8.982222222,-0.205113078
"[1e,1f,1g,1j]",10.00888889,-0.04495335
"[1g,1h,1i,1k]",11.35666667,0.037770332
"[1a,1c]",60.48444444,2.39397718
"[1a,1d]",5.46,0.07992973
"[1a,1g]",13,0.57430798
"[1d,1g]",9.11,0.699336922
