Combi,k_eff
"(7,)",27.150004669176468
"(3, 7)",24.09708615505817
"(7, 9)",21.106462437934844
"(3, 7, 9)",21.08569750560319
"(3,)",21.044167640939875
"(3, 6, 7)",20.71835887736114
"(3, 5, 7)",20.58494750985222
"(6, 7)",20.555454495571777
"(0, 4, 7)",20.4751008934755
"(5, 7)",20.355337444308397
"(1, 3, 7)",19.809588937297043
"(1, 7)",19.192299585475624
"(3, 4, 7)",18.86365991550391
"(6, 7, 9)",18.724609732612258
"(5, 7, 9)",18.591198365103338
"(0, 3, 4)",18.439821884063303
"(5, 6, 7)",18.223859736861293
"(3, 9)",18.053543923816548
"(1, 7, 9)",17.815839792548157
"(4, 7)",17.773406052785926
"(3, 6)",17.50253598145348
"(1, 6, 7)",17.44850116430611
"(1, 5, 7)",17.31508979679719
"(3, 5)",17.3024189301901
"(0, 4)",17.17302021310827
"(0, 3, 7)",17.097882913615866
"(4, 7, 9)",16.869910770755027
"(3, 6, 9)",16.68933072320006
"(3, 5, 9)",16.55591935569114
"(2, 3)",16.528433561342208
"(4, 6, 7)",16.502572142512978
"(0, 4, 9)",16.44607273931442
"(4, 5, 7)",16.369160775004058
"(3, 5, 6)",16.188580727449093
"(1, 3)",16.139381071357327
"(0, 4, 6)",16.07873411107237
"(3, 7, 8)",16.064724103372114
"(3, 7, 10)",16.064724103372114
"(2, 3, 9)",16.039929109792546
"(0, 4, 5)",15.945322743563452
"(1, 3, 9)",15.780560783135961
"(2, 3, 6)",15.672590481550499
"(2, 3, 5)",15.539179114041579
"(1, 3, 6)",15.413222154893914
"(1, 3, 5)",15.279810787384994
"(0, 7)",15.124740549953863
"(0, 7, 9)",15.104133768866982
"(9,)",15.062920206693224
"(3, 4, 9)",14.834631761342827
"(1, 2, 3)",14.7638205414864
"(0, 6, 7)",14.736795140624935
"(3, 4)",14.72048753866763
"(0, 5, 7)",14.603383773116015
"(6, 9)",14.511912264330155
"(3, 4, 6)",14.46729313310078
"(3, 4, 5)",14.33388176559186
"(5, 9)",14.311795213066775
"(5, 6, 9)",14.19483158270021
"(7, 9, 10)",14.07097495862323
"(6,)",13.960904321967085
"(0, 1, 7)",13.828025200560834
"(2, 3, 4)",13.817891519693266
"(5, 6)",13.760787270703705
"(6, 7, 8)",13.703636330381183
"(6, 7, 10)",13.703636330381183
"(2, 6, 9)",13.678841336801616
"(7, 8)",13.575002334588234
"(7, 10)",13.575002334588234
"(5, 7, 8)",13.570224962872263
"(5, 7, 10)",13.570224962872263
"(5,)",13.560670219440325
"(2, 5, 9)",13.545429969292696
"(2, 9)",13.537809844218884
"(1, 6, 9)",13.41947301014503
"(1, 5, 9)",13.28606164263611
"(2, 5, 6)",13.17809134105065
"(1, 9)",13.148757354234004
"(0, 3, 9)",13.068854759454785
"(2, 6)",12.986801901855813
"(1, 5, 6)",12.918723014394063
"(1, 7, 8)",12.794866390317083
"(1, 7, 10)",12.794866390317083
"(2, 5)",12.786684850592433
"(1, 2, 9)",12.770071396737515
"(0, 3, 6)",12.701516131212738
"(1, 6)",12.597749411870934
"(0, 3, 5)",12.568104763703818
"(4, 6, 9)",12.473543988351897
"(1, 2, 6)",12.402732768495468
"(1, 5)",12.397632360607554
"(4, 5, 9)",12.340132620842978
"(1, 2, 5)",12.269321400986549
"(0, 3)",12.071822035835567
"(3, 9, 10)",12.035695949211032
"(2,)",12.012699481744542
"(4, 5, 6)",11.97279399260093
"(4, 7, 8)",11.84893736852395
"(4, 7, 10)",11.84893736852395
"(2, 4, 9)",11.824142374944383
"(0, 1, 3)",11.792746191148638
"(4, 9)",11.729863821544305
"(3, 6, 8)",11.668357320968987
"(3, 6, 10)",11.668357320968987
"(1, 2)",11.623646991759664
"(3, 5, 8)",11.534945953460067
"(3, 5, 10)",11.534945953460067
"(2, 4, 6)",11.456803746702336
"(0, 4, 8)",11.425099337083346
"(0, 4, 10)",11.425099337083346
"(2, 4, 5)",11.323392379193416
"(1,)",11.234594501774783
"(4, 6)",11.178855879181235
"(2, 3, 8)",11.01895570756147
"(2, 3, 10)",11.01895570756147
"(4, 5)",10.978738827917855
"(7, 8, 9)",10.926410297881084
"(1, 3, 8)",10.759587380904886
"(1, 3, 10)",10.759587380904886
"(0, 6, 9)",10.707766986463854
"(0, 5, 9)",10.574355618954934
"(1, 4, 7)",10.546306052109175
"(3, 8)",10.522083820469938
"(3, 10)",10.522083820469938
"(0, 5, 6)",10.207016990712887
"(2, 4)",10.204753459069963
"(0, 7, 8)",10.083160366635907
"(0, 7, 10)",10.083160366635907
"(3, 4, 8)",9.813658359111752
"(3, 4, 10)",9.813658359111752
"(0, 1, 9)",9.798997046399755
"(6, 9, 10)",9.674608176220103
"(5, 9, 10)",9.541196808711183
"(0, 1, 6)",9.431658418157706
"(0, 1, 5)",9.298247050648786
"(5, 6, 8)",9.173858180469136
"(5, 6, 10)",9.173858180469136
"(0, 9)",9.08119831871224
"(7, 8, 10)",9.050001556392155
"(2, 9, 10)",9.025206562812588
"(3, 8, 9)",8.891131288468888
"(1, 9, 10)",8.765838236156002
"(2, 6, 8)",8.657867934570541
"(2, 6, 10)",8.657867934570541
"(0, 6)",8.530190376349172
"(2, 5, 8)",8.524456567061621
"(2, 5, 10)",8.524456567061621
"(1, 3, 4)",8.511027042696979
"(1, 6, 8)",8.398499607913955
"(1, 6, 10)",8.398499607913955
"(4,)",8.396807436395385
"(2, 3, 7)",8.388231879842625
