pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
6,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,33.9
6,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,38.33
6,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,45.59
5,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,50.36
4,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,52.18
4,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,57.7
3,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,64.64
5,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,65.24
5,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,70.89
4,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,99.26
4,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,104.77
4,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,146.31
4,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,152.46
3,2,2,1.0,2,output,0.1,True,5,0.99,0.99,0.1,0.9949874371066203,43.2
5,3,2,1.0,2,output,0.1,True,5,0.99,0.99,0.1,0.9949874371066203,45.19
3,2,2,1.0,2,coop,0.1,True,5,0.99,0.99,0.62,6.168922110061043,50.1
5,3,1,1.0,2,output,0.1,True,5,0.98,0.98,0.2,1.4000000000000004,25.57
5,3,1,1.0,2,coop,0.1,True,5,0.98,0.98,1.63,11.84538306683241,30.99
8,2,3,1.0,2,coop,0.1,True,5,0.98,0.98,3.25,23.012333649588864,31.69
8,3,2,1.0,2,coop,0.1,True,5,0.98,0.98,2.26,16.210256012784004,32.82
8,3,3,1.0,2,coop,0.1,True,5,0.98,0.98,1.94,14.766055668322528,38.91
3,2,3,1.0,2,output,0.1,True,5,0.98,0.98,0.24,1.7036431551237479,62.11
6,3,2,1.0,2,output,0.1,True,5,0.97,0.97,0.3,1.7058722109231979,27.38
5,2,3,1.0,2,coop,0.1,True,5,0.97,0.97,0.4,2.328089345364563,29.92
4,2,3,1.0,2,coop,0.1,True,5,0.97,0.97,2.65,15.581639836679576,40.63
7,3,3,1.0,2,coop,0.1,True,5,0.97,0.97,1.42,8.348868186766396,41.19
4,2,2,1.0,2,coop,0.1,True,5,0.95,0.95,2.95,14.577636982721168,29.28
7,3,1,1.0,2,coop,0.1,True,5,0.94,0.94,2.9,15.821820375671061,25.31
7,3,2,1.0,2,coop,0.1,True,5,0.94,0.94,2.66,13.091386481194421,32.69
6,3,1,1.0,2,coop,0.1,True,5,0.93,0.93,4.34,21.392624897379935,23.14
7,2,3,1.0,2,coop,0.1,True,5,0.93,0.93,6.11,29.75160331814069,27.14
6,2,3,1.0,2,coop,0.1,True,5,0.93,0.93,4.6,22.887551201471958,29.37
3,2,1,1.0,2,output,0.1,True,5,0.92,0.92,0.86,2.9394557319340597,24.96
5,2,3,1.0,2,output,0.1,True,5,0.92,0.92,1.02,3.7228483718787158,26.27
4,2,3,1.0,2,output,0.1,True,5,0.92,0.92,1.21,4.576669094439755,38.19
3,2,1,1.0,2,coop,0.1,True,5,0.92,0.92,6.82,30.67878094057846,56.13
4,2,2,1.0,2,output,0.1,True,5,0.9,0.9,1.42,4.477007929409998,27.15
8,2,2,1.0,2,coop,0.1,True,5,0.86,0.86,11.04,35.232348772115664,27.53
