pool_size,num_meet,num_redun,target_metric,count,avg_f_score,avg_accuracy,avg_efficiency
4,2,1,coop,24,0.58,0.64,0.54
6,3,1,output,15,0.79,0.91,0.7
3,2,1,output,15,0.62,0.72,0.55
6,3,1,coop,9,0.64,0.8,0.53
4,2,1,output,5,0.75,0.81,0.69
5,2,1,coop,5,0.6,0.63,0.59
5,2,2,coop,3,0.62,0.73,0.54
5,3,1,coop,3,0.33,0.4,0.34
5,3,1,output,2,0.67,0.9,0.53
7,2,1,coop,2,0.26,0.2,0.43
8,2,3,output,1,0.84,0.99,0.73
8,3,2,output,1,0.83,1.0,0.71
7,3,1,output,1,0.69,0.68,0.69
8,2,1,coop,1,0.43,0.38,0.51
4,2,2,coop,1,0.34,0.33,0.34
7,2,2,coop,1,0.19,0.12,0.45
5,2,3,coop,1,0.17,0.11,0.38
